Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,SubLabel
192.168.10.9-54.192.37.6-1299-443-6,54.192.37.6,443,192.168.10.9,1299,6,03/07/2017 09:16:45,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.666666667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.666666667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,0,0,0,0,0,0,2,12,0,0,161,-1,1,20,0,0,0,0,0,0,0,0,Normal,Normal
172.16.0.1-192.168.10.50-51784-22-6,172.16.0.1,51784,192.168.10.50,22,6,4/7/2017 3:04,12093814,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,393.0108401,4.46509265,228185.1698,616784.806,2234065,4,10100000,478800.2381,866276.1755,2302170,521,12100000,390119.6774,770931.1575,2234065,4,0,0,0,0,712,1032,1.81911182,2.64598083,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,91.27272727,85.78125,0,0,0,0,0,0,22,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
172.16.0.1-192.168.10.50-50930-22-6,172.16.0.1,50930,192.168.10.50,22,6,4/7/2017 2:56,104,1,1,0,0,0,0,0,0,0,0,0,0,0,19230.76923,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9615.384615,9615.384615,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
172.16.0.1-192.168.10.50-47592-22-6,172.16.0.1,47592,192.168.10.50,22,6,4/7/2017 2:22,12604984,20,33,2008,2745,640,0,100.4,141.9141327,976,0,83.18181818,217.2857356,377.0730689,4.204686019,242403.5385,668261.8121,2809654,3,10100000,529984.7895,924827.2751,2864933,670,12600000,393903.4688,820497.643,2809654,3,0,0,0,0,648,1064,1.58667397,2.61801205,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,100.4,83.18181818,0,0,0,0,0,0,20,2008,33,2745,29200,247,16,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
192.168.10.14-54.192.37.184-50330-443-6,192.168.10.14,50330,54.192.37.184,443,6,03/07/2017 09:15:34,116429649,23,21,1460,9294,559,0,63.4782608695652,146.720473122198,1460,0,442.571428571429,638.30271591374,92.3647893158211,0.37791061278558,2707666.25581395,4389370.08427005,10011365,0,116429649,5292256.77272727,4950492.0453113,10040932,3,111228705,5561435.25,5072400.53949112,10042188,43,0,0,0,0,472,564,0.197544183956099,0.180366428829481,0,1460,238.977777777778,482.845942346422,233140.204040404,0,0,0,1,0,0,0,0,0,244.409090909091,63.4782608695652,442.571428571429,0,0,0,0,0,0,23,1460,21,9294,8192,127,22,20,115518.083333333,295117.753284857,1052637,29366,9586952.41666667,1391190.3200351,10011365,5171296,Normal,Normal
172.16.0.1-192.168.10.50-59282-80-6,172.16.0.1,59282,192.168.10.50,80,6,5/7/2017 10:02,105668475,16,3,2541,6,231,0,158.8125,110.5828309,6,0,2,3.464101615,24.10368845,0.179807648,5870470.833,12500000,51300000,77,106000000,7044559.867,13500000,51300000,388,103000000,51300000,28200000,71300000,31400000,0,0,0,0,536,100,0.151416967,0.028390681,0,231,127.35,117.5733925,13823.50263,0,0,0,1,0,0,0,0,0,134.0526316,158.8125,2,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4707043,6655996.131,9413543,543,19300000,18800000,51300000,5710639,Attack,DOS slowloris
172.16.0.1-192.168.10.50-53820-80-6,172.16.0.1,53820,192.168.10.50,80,6,5/7/2017 10:02,105002487,2,2,16,0,8,8,8,0,0,0,0,0,0.152377343,0.038094336,35000000,60600000,105000000,107,105000000,105000000,0,105000000,105000000,105000000,105000000,0,105000000,105000000,1,0,0,0,64,64,0.019047168,0.019047168,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6,8,0,0,0,0,0,0,0,2,16,2,0,229,235,1,32,122,0,122,122,105000000,0,105000000,105000000,Attack,DOS slowloris
172.16.0.1-192.168.10.50-53778-80-6,172.16.0.1,53778,192.168.10.50,80,6,5/7/2017 9:52,99999368,2,2,16,0,8,8,8,0,0,0,0,0,0.160001011,0.040000253,33300000,57700000,100000000,74,100000000,100000000,0,100000000,100000000,100000000,100000000,0,100000000,100000000,1,0,0,0,64,64,0.020000126,0.020000126,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6,8,0,0,0,0,0,0,0,2,16,2,0,229,235,1,32,74,0,74,74,100000000,0,100000000,100000000,Attack,DOS slowloris
172.16.0.1-192.168.10.50-47024-22-6,172.16.0.1,47024,192.168.10.50,22,6,4/7/2017 2:16,13855117,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,343.0501525,3.825301511,266444.5577,719420.7238,2563189,19,11700000,583534.55,1023570.454,2608557,630,13900000,446937.6129,892550.9272,2563189,48,0,0,0,0,680,1032,1.515685504,2.309616007,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
172.16.0.1-192.168.10.50-58962-21-6,172.16.0.1,58962,192.168.10.50,21,6,4/7/2017 10:11,236,2,1,14,0,14,0,7,9.899494937,0,0,0,0,59322.0339,12711.86441,118,43.84062043,149,87,236,236,0,236,236,0,0,0,0,0,1,0,0,0,64,20,8474.576271,4237.288136,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
